Feature ID,Feature Name,User Story,Expected Behaviour,Edge Cases,Test Cases,Current Status,Defect Count,Severity,Notes,Last Tested Date
SRV-R02,Relay queue/dedup,As a system I queue when extension offline,Queue max 50/60s; dedup start_task by sessionId,queue expiry; dedup replace,"TC: queue offline; TC: dedup; TC: expiry",NOT-TESTED,0,,,
SRV-R03,Relay status query,As a system I check connectivity,Direct response extensionConnected,requires requestId,"TC: connected; TC: disconnected",NOT-TESTED,0,,,
SRV-R04,Relay read_credentials,As an extension I read creds via relay,Returns claude/codex tokens or error,no creds error; keychain non-darwin null,"TC: claude; TC: codex; TC: none",NOT-TESTED,0,,,
SRV-R05,Relay API proxy,As an extension I proxy API calls,Impersonates extension; 150s; 401 refresh; 429 Haiku fallback,timeout; refresh; rate limit,"TC: proxy; TC: 401 refresh; TC: 429 fallback",NOT-TESTED,0,,,
SRV-R06,Relay auto-start,As a system I ensure relay running,Test connect 1s; spawn detached; wait 3s,spawn fail throws; startup timeout,"TC: already running; TC: spawn; TC: timeout",NOT-TESTED,0,,,
SRV-R07,WebSocket client,As a client I connect with reconnect,Auto-register role; exp backoff max 30s; 5s connect timeout,buffered/dropped if closed,"TC: connect; TC: reconnect backoff; TC: send buffered",NOT-TESTED,0,,,
SRV-CR1,Credentials detection (server),As a system I resolve credentials,env->file->keychain->codex first match,unreadable skipped,"TC: each source; TC: none",PARTIAL,0,,detect-credentials.test.ts,2026-06-21
SRV-CR2,Claude OAuth refresh,As a system I refresh expired tokens,POST oauth/token refresh_token; error mapping; save,invalid_grant->claude login; 5xx generic; network timeout,"TC: refresh ok; TC: invalid_grant; TC: network err",NOT-TESTED,0,,,
SRV-CR3,LLM client (server),As a system I call Anthropic,Resolves creds; builds headers; /v1/messages default Haiku; 401 refresh,no creds error; 401 refresh,"TC: call; TC: no creds; TC: 401 refresh",NOT-TESTED,0,,,
SRV-CR4,License manager (server),As a user BYOM is free,Always allowed unlimited dummy usage,N/A,"TC: allowed",NOT-TESTED,0,,,
SRV-CR5,Telemetry,As a maintainer I see usage events,mcp_start/task_completed/failed; batched on shutdown; opt-out,disabled via cmd/env; shutdown timeout,"TC: track; TC: opt-out; TC: shutdown flush",NOT-TESTED,0,,,
SRV-CR6,Domain skills JSON,As an agent I get curated domain tips,Per-domain prompts+antiBot+lastVerified,domain not matched generic; duplicate domains; malformed entries,"TC: non-empty array; TC: required string fields; TC: antiBot boolean; TC: no dup domains; TC: bare hostnames",TESTED,0,,domain-skills.test.ts (5 cases) guards single source of truth,2026-06-21
